scheduleNumber,scheduleDate,eventNumber,category,eventCode,eventName,eventDescription,priceCode,price
1,2024-05-16,17,2,FS120,フレンドシップ120,H120㎝以下  経路自由選択　スタート後70秒間走行許可,フレンドシップ,7000
2,2024-05-16,16,2,FS100,フレンドシップ100,H100㎝以下  経路自由選択　スタート後70秒間走行許可,フレンドシップ,7000
3,2024-05-16,18,2,FS80,フレンドシップ80,H80㎝以下  経路自由選択　スタート後70秒間走行許可,フレンドシップ,7000
4,2024-05-17,33,2,中D-K,中障害飛越競技Ｄ(公認),JEF 中障害D  A-238-2.1　H110㎝以下 W130㎝以下,公認,12000
5,2024-05-17,32,2,中D-I,中障害飛越競技Ｄ(一般),JEF 中障害D  A-238-2.1　H110㎝以下 W130㎝以下,一般,7000
6,2024-05-17,31,2,中C-K,中障害飛越競技Ｃ(公認),JEF 中障害C  A-238-2.1　H120㎝以下 W140㎝以下 ,公認,12000
7,2024-05-17,30,2,中C-I,中障害飛越競技Ｃ(一般),JEF 中障害C  A-238-2.1　H120㎝以下 W140㎝以下 ,一般,7000
8,2024-05-17,29,2,中B-K,中障害飛越競技Ｂ(公認),JEF 中障害B  A-238-2.1　H130㎝以下 W150㎝以下,公認,12000
9,2024-05-17,28,2,中B-I,中障害飛越競技Ｂ(一般),JEF 中障害B  A-238-2.1　H130㎝以下 W150㎝以下,一般,7000
10,2024-05-17,36,2,小80,小障害飛越競技80,JEF 小障害C  A-238-2.1  H80㎝以下　W90㎝以下,一般,7000
11,2024-05-17,37,2,小90,小障害飛越競技90,JEF 小障害B  A-238-2.1  H90㎝以下  W100cm以下,一般,7000
12,2024-05-17,34,2,小100,小障害飛越競技100,JEF 小障害A  A-238-2.1  H100㎝以下 W110㎝以下 ,一般,7000
13,2024-05-18,19,1,GP,グランプリ馬場馬術競技,FEI グランプリ馬場馬術課目(2022更新版）,一般,7000
14,2024-05-18,22,1,JrR,ジュニアライダー馬場馬術競技,FEI ジュニアライダー個人競技馬場馬術課目(2022更新版）,一般,7000
15,2024-05-18,20,1,Int-I,インターメディエイトⅠ馬場馬術競技(一般),FEI インターメディエイトⅠ馬場馬術課目(2022更新版）,一般,7000
16,2024-05-18,13,1,5A-K,馬場馬術５A(公認),JEF 馬場馬術競技第５課目A,公認,12000
17,2024-05-18,12,1,5A-I,馬場馬術５A(一般),JEF 馬場馬術競技第５課目A,一般,7000
18,2024-05-18,24,1,St-K,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(公認),FEI セントジョージ賞典馬場馬術課目(2022更新版）,公認,12000
19,2024-05-18,23,1,St-I,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(一般),FEI セントジョージ賞典馬場馬術課目(2022更新版）,一般,7000
20,2024-05-18,9,1,4A-K,馬場馬術４A(公認),JEF 馬場馬術競技第４課目A,公認,12000
21,2024-05-18,8,1,4A-I,馬場馬術４A(一般),JEF 馬場馬術競技第４課目A,一般,7000
22,2024-05-18,5,1,3A-K,馬場馬術３A(公認),JEF 馬場馬術競技第３課目A,公認,12000
23,2024-05-18,4,1,3A-I,馬場馬術３A(一般),JEF 馬場馬術競技第３課目A,一般,7000
